"Ingredient1","Ingredient2","Ingredient3","ClassificationOutput"
"Eggs","Cheddar Cheese","Bacon","Highly Compatible"
"Chicken","Lemon","Capers","Highly Compatible"
"Walnuts","Watercress","Goat Cheese","Highly Compatible"
"Mushroom","Butter","Sage","Highly Compatible"
"Mushroom","Basil","Pine Nuts","Highly Compatible"
"Banana","Strawberry","Chocolate Syrup","Moderately Compatible"
"Mushroom","Cream Cheese","Chives","Highly Compatible"
"Salmon","Basil","Tomato","Highly Compatible"
"Shrimp","Tomato","Basil","Moderately Compatible"
"Blueberries","Blueberries","Yogurt","Compatible"
"Potato","Garlic","Parmesan Cheese","Highly Compatible"
"Salmon","Sesame Seeds","Ginger","Highly Compatible"
"Pineapple","Pomegranate Seeds","Yogurt","Highly Compatible"
"Walnuts","Kiwi","Honey","Moderately Compatible"
"Walnuts","Cinnamon","Maple Syrup","Moderately Compatible"
"Beef","Quinoa","Kale","Compatible"
"Mushroom","Tomato","Basil","Moderately Compatible"
"Cucumber","Mint","Watermelon","Moderately Compatible"
"Avocado","Pomegranate Seeds","Goat Cheese","Highly Compatible"
"Chicken","BBQ Sauce","Pineapple","Highly Compatible"
"Potato","Tomato","Basil","Highly Compatible"
"Potato","Paprika","Garlic Powder","Compatible"
"Beef","Chimichurri Sauce","Red Pepper Flakes","Moderately Compatible"
"Chickpeas","Red Onion","Lemon","Compatible"
"Eggs","Bacon","Jalapeno","Moderately Compatible"
"Chickpeas","Tomato","Feta Cheese","Highly Compatible"
"Cucumber","Smoked Salmon","Cream Cheese","Highly Compatible"
"Eggs","Avocado","Tomato","Highly Compatible"
"Cucumber","Tomato","Red Onion","Highly Compatible"
"Potato","Butter","Parsley","Compatible"
"Blueberries","Almond Milk","Oats","Compatible"
"Blueberries","Banana","Greek Yogurt","Moderately Compatible"
"Walnuts","Pistachios","Greek Yogurt","Compatible"
"Cucumber","Cream Cheese","Chives","Highly Compatible"
"Pineapple","Coconut Milk","Banana","Highly Compatible"
"Potato","Blue Cheese","Walnuts","Moderately Compatible"
"Mango","Pine Nuts","Arugula","Moderately Compatible"
"Mango","Chili Powder","Lime","Highly Compatible"
"Avocado","Kiwi","Strawberry","Compatible"
"Salmon","Mango","Pineapple","Compatible"
"Potato","Olive Oil","Rosemary","Compatible"
"Tomato","Red Pepper","Cumin","Highly Compatible"
"Eggs","Mushroom","Swiss Cheese","Compatible"
"Walnuts","Butternut Squash","Sage","Highly Compatible"
"Avocado","Tomato","Lime","Highly Compatible"
"Avocado","Bacon","Cherry Tomatoes","Highly Compatible"
"Potato","Honey","Mustard","Compatible"
"Pork","Paprika","Garlic Powder","Highly Compatible"
"Walnuts","Hazelnuts","Vanilla Ice Cream","Compatible"
"Chicken","Cilantro","Lime","Highly Compatible"
"Walnuts","Almond Butter","Honey","Compatible"
"Lemon","Rosemary","Chicken","Highly Compatible"
"Mango","Greek Yogurt","Honey","Highly Compatible"
"Pineapple","Coconut","Mango","Highly Compatible"
"Blueberries","Blueberries","Raspberry","Moderately Compatible"
"Mushroom","Thyme","Garlic","Highly Compatible"
"Shrimp","Avocado","Lime","Compatible"
"Chicken","Cilantro","Lime","Moderately Compatible"
"Potato","Rosemary","Brown Butter","Moderately Compatible"
"Lemon","Spinach","Feta Cheese","Moderately Compatible"
"Shrimp","Dijon Mustard","Maple Glaze","Moderately Compatible"
"Tomato","Pesto","Pine Nuts","Highly Compatible"
"Potato","Pesto","Sun-Dried Tomatoes","Moderately Compatible"
"Chickpeas","Cumin","Olive Oil","Highly Compatible"
"Tomato","Artichoke Hearts","Olives","Highly Compatible"
"Mango","Kiwi","Coconut Milk","Moderately Compatible"
"Pork","Brown Sugar","Bourbon","Highly Compatible"
"Mushroom","Onion","Rosemary","Moderately Compatible"
"Beef","Red Onion","Gorgonzola","Moderately Compatible"
"Cucumber","Pineapple","Jalapeno","Moderately Compatible"
"Lemon","Ginger","Mint","Compatible"
"Eggs","Avocado","Sriracha","Moderately Compatible"
"Avocado","Chickpeas","Red Onion","Compatible"
"Tomato","Corn","Black Beans","Moderately Compatible"
"Chickpeas","Chickpeas","Tomato","Compatible"
"Pumpkin","Apples","Curry","Moderately Compatible"
"Mushroom","Olive Oil","Thyme","Moderately Compatible"
"Avocado","Prosciutto","Arugula","Compatible"
"Potato","Garlic","Mushrooms","Moderately Compatible"
"Tomato","Hummus","Cucumber","Moderately Compatible"
"Potato","Sour Cream","Chives","Highly Compatible"
"Mango","Lime","Mint","Moderately Compatible"
"Potato","Lemon","Dijon Mustard","Compatible"
"Tomato","Cucumber","Red Onion","Highly Compatible"
"Lemon","Garlic","Olive Oil","Highly Compatible"
